,total_points_scored_match_played,total_points_scored_rank,team_id,team_name,total_points_scored,total_points_conceded_match_played,total_points_conceded_rank,total_points_conceded,avg_points_scored_match_played,avg_points_scored_rank,avg_points_scored,successful_raids_match_played,successful_raids_rank,successful_raids,raid_points_match_played,raid_points_rank,raid_points,avg_raid_points_match_played,avg_raid_points_rank,avg_raid_points,successful_tackles_match_played,successful_tackles_rank,successful_tackles,tackle_points_match_played,tackle_points_rank,tackle_points,avg_tackle_points_match_played,avg_tackle_points_rank,avg_tackle_points,super_raid_match_played,super_raid_rank,super_raid,super_tackles_match_played,super_tackles_rank,super_tackles,do_or_die_raid_points_match_played,do_or_die_raid_points_rank,do_or_die_raid_points,all_outs_inflicted_match_played,all_outs_inflicted_rank,all_outs_inflicted,all_outs_conceded_match_played,all_outs_conceded_rank,all_outs_conceded,season,winner,away_points_conceded,away_points_scored,away_wins,draws,home_wins,is_qualified,lost,noresult,played,points,points_conceded,points_scored,position,score_diff,team_global_id,team_short_name,tied,trump_matches_won,wins
37,16,2,8,Telugu Titans,506,16,3,454,16,3,26.81,16,2,206,16,3,267,16,3,16.69,16,1,157,16,2,162,16,2,10.13,16,3,7,16,8,5,16,4,76,16,1,22,16,7,13,4,0,0,0,0,2,0,False,4,0,14,50,67,50,2,67,0,Hyderabad,2,0,8
38,16,3,6,Patna Pirates,492,16,2,466,16,2,27.18,16,2,206,16,4,264,16,4,16.5,16,2,145,16,1,171,16,1,10.69,16,3,7,16,1,27,16,5,73,16,3,19,16,8,12,4,1,0,0,0,0,0,False,4,0,14,52,14,52,1,14,0,Patna,0,0,10
39,16,4,3,Jaipur Pink Panthers,475,16,4,450,16,5,25.31,16,4,203,16,2,270,16,2,16.88,16,4,119,16,4,135,16,8,8.44,16,5,6,16,3,17,16,2,80,16,4,17,16,6,14,4,0,0,0,0,1,0,False,5,0,14,47,22,47,3,22,0,Jaipur,1,0,8
40,14,5,2,Dabang Delhi K.C.,419,14,8,412,14,4,25.71,14,7,162,14,6,226,14,6,16.14,14,6,116,14,5,134,14,3,9.57,14,1,11,14,2,20,14,1,84,14,5,15,14,4,16,4,0,0,0,0,1,0,False,9,0,14,29,7,29,7,7,0,Delhi,1,0,4
41,14,6,5,U Mumba,399,14,6,418,14,6,24.85,14,5,188,14,5,227,14,5,16.21,14,7,110,14,8,121,14,7,8.64,14,6,4,14,5,11,14,8,42,14,5,15,14,1,21,4,0,0,0,0,1,0,False,6,0,14,42,-18,42,5,-18,0,Mumbai,1,0,7
42,14,7,4,Bengal Warriors,378,14,5,438,14,7,23.35,14,6,167,14,7,202,14,7,14.43,14,5,117,14,6,125,14,5,8.93,14,6,4,14,6,8,14,6,62,14,7,11,14,5,15,4,0,0,0,0,2,0,False,9,0,14,26,-60,26,8,-60,0,Bengal,2,0,3
43,14,8,1,Bengaluru Bulls,360,14,7,415,14,8,23.21,14,8,157,14,8,201,14,8,14.36,14,8,109,14,7,124,14,6,8.86,14,6,4,14,4,15,14,7,59,14,8,9,14,1,21,4,0,0,0,0,1,0,False,8,0,14,32,-55,32,6,-55,0,Bengaluru,1,0,5
44,16,1,6,Patna Pirates,594,16,2,468,16,1,31.62,16,1,241,16,1,324,16,1,20.25,16,1,175,16,2,182,16,2,11.38,16,1,16,16,6,7,16,2,74,16,1,30,16,6,13,3,1,0,0,0,2,0,False,2,0,14,58,104,58,2,104,0,Patna,2,0,10
45,16,2,7,Puneri Paltan,510,16,6,433,16,2,27.37,16,5,203,16,4,251,16,5,15.69,16,2,174,16,1,187,16,1,11.69,16,2,9,16,3,13,16,1,87,16,3,25,16,6,13,3,0,0,0,0,3,0,False,4,0,14,48,92,48,3,92,0,Pune,3,0,7
46,16,3,5,U Mumba,502,16,8,397,16,4,26.37,16,3,206,16,3,253,16,4,15.81,16,3,163,16,3,169,16,3,10.56,16,5,7,16,8,6,16,5,59,16,2,27,16,8,12,3,0,0,0,0,0,0,False,2,0,14,60,95,60,1,95,0,Mumbai,0,0,12
47,16,4,4,Bengal Warriors,460,16,4,449,16,5,25,16,2,213,16,5,250,16,6,15.63,16,4,137,16,4,150,16,4,9.38,16,7,4,16,3,13,16,3,70,16,4,17,16,4,18,3,0,0,0,0,0,0,False,5,0,14,47,26,47,4,26,0,Bengal,0,0,9
48,14,5,8,Telugu Titans,427,14,5,437,14,3,26.42,14,3,206,14,2,254,14,2,18.14,14,5,101,14,6,116,14,6,8.29,14,8,3,14,2,15,14,8,44,14,5,13,14,5,17,3,0,0,0,0,0,0,False,7,0,14,38,-10,38,5,-10,0,Hyderabad,0,0,7
49,14,6,2,Dabang Delhi K.C.,384,14,1,525,14,6,24.57,14,6,171,14,6,233,14,3,16.64,14,7,98,14,7,111,14,7,7.93,14,6,5,14,3,13,14,7,54,14,8,9,14,1,28,3,0,0,0,0,1,0,False,12,0,14,11,-142,11,8,-142,0,Delhi,1,0,1
50,14,7,3,Jaipur Pink Panthers,364,14,7,427,14,7,22.14,14,8,149,14,8,193,14,8,13.79,14,5,101,14,5,117,14,5,8.36,14,4,8,14,1,16,14,5,59,14,7,11,14,2,22,3,0,0,0,0,2,0,False,8,0,14,28,-63,28,6,-63,0,Jaipur,2,0,4
51,14,8,1,Bengaluru Bulls,362,14,3,467,14,8,22.07,14,7,158,14,7,209,14,7,14.93,14,8,94,14,8,100,14,8,7.14,14,2,9,14,6,7,14,4,69,14,6,12,14,3,21,3,0,0,0,0,0,0,False,12,0,14,14,-102,14,7,-102,0,Bengaluru,0,0,2
52,16,1,8,Telugu Titans,586,16,1,493,16,1,32.25,16,1,265,16,1,344,16,1,21.5,16,2,158,16,2,172,16,2,10.75,16,1,16,16,3,16,16,3,66,16,1,26,16,6,15,2,0,0,0,0,3,0,False,3,0,14,50,85,50,2,85,0,Hyderabad,3,0,8
53,16,2,1,Bengaluru Bulls,508,16,5,457,16,4,26,16,2,194,16,2,252,16,4,15.75,16,2,158,16,3,164,16,3,10.25,16,3,10,16,8,7,16,2,80,16,2,25,16,5,16,2,0,0,0,0,0,0,False,5,0,14,48,55,48,3,55,0,Bengaluru,0,0,9
54,16,3,5,U Mumba,489,16,7,426,16,2,27.06,16,3,187,16,3,237,16,6,14.81,16,1,180,16,1,196,16,1,12.25,16,6,7,16,3,16,16,1,81,16,3,20,16,7,14,2,1,0,0,0,0,0,False,2,0,14,60,40,60,1,40,0,Mumbai,0,0,12
55,16,4,6,Patna Pirates,444,16,2,489,16,6,24.5,16,5,182,16,5,228,16,7,14.25,16,4,152,16,3,164,16,3,10.25,16,8,4,16,6,13,16,5,60,16,5,13,16,1,21,2,0,0,0,0,1,0,False,6,0,14,41,-18,41,4,-18,0,Patna,1,0,7
56,14,5,3,Jaipur Pink Panthers,442,14,8,399,14,3,26.71,14,4,183,14,4,232,14,2,16.57,14,5,124,14,5,142,14,5,10.14,14,7,5,14,2,18,14,8,47,14,4,17,14,8,12,2,0,0,0,0,1,0,False,7,0,14,38,43,38,5,43,0,Jaipur,1,0,6
57,14,6,2,Dabang Delhi K.C.,396,14,4,464,14,5,25.21,14,7,159,14,7,217,14,5,15.5,14,6,122,14,6,136,14,6,9.71,14,2,14,14,5,14,14,4,61,14,5,13,14,3,20,2,0,0,0,0,1,0,False,9,0,14,27,-68,27,7,-68,0,Delhi,1,0,4
58,14,7,7,Puneri Paltan,391,14,3,465,14,7,24.07,14,6,170,14,6,223,14,3,15.93,14,8,104,14,8,114,14,8,8.14,14,5,8,14,7,11,14,7,56,14,7,12,14,1,21,2,0,0,0,0,1,0,False,11,0,14,21,-74,21,8,-74,0,Pune,1,0,2
59,14,8,4,Bengal Warriors,367,14,6,430,14,8,22.85,14,8,134,14,8,184,14,8,13.14,14,7,116,14,6,136,14,6,9.71,14,4,9,14,1,21,14,6,59,14,8,10,14,4,17,2,0,0,0,0,1,0,False,9,0,14,27,-63,27,6,-63,0,Bengal,1,0,4
60,16,1,3,Jaipur Pink Panthers,579,16,8,458,16,1,32.12,16,2,270,16,2,344,16,3,21.5,16,1,158,16,1,170,16,1,10.63,16,5,9,16,4,12,16,1,50,16,1,29,16,6,15,1,1,0,0,0,1,0,False,3,0,14,54,0,54,1,0,0,Jaipur,1,0,10
61,16,2,5,U Mumba,550,16,3,499,16,2,31.5,16,2,270,16,1,347,16,2,21.69,16,3,145,16,3,157,16,3,9.81,16,2,12,16,4,12,16,4,40,16,3,21,16,4,19,1,0,0,0,0,3,0,False,3,0,14,51,0,51,2,0,0,Mumbai,3,0,8
62,16,3,6,Patna Pirates,504,16,4,487,16,6,28.62,16,4,253,16,4,316,16,6,19.75,16,4,124,16,4,142,16,5,8.88,16,1,13,16,1,18,16,3,42,16,5,18,16,5,17,1,0,0,0,0,2,0,False,5,0,14,45,0,45,4,0,0,Patna,2,0,7
63,16,4,1,Bengaluru Bulls,498,16,5,479,16,7,28.37,16,6,225,16,5,291,16,8,18.19,16,2,153,16,2,163,16,2,10.19,16,7,7,16,6,10,16,4,40,16,4,20,16,6,15,1,0,0,0,0,1,0,False,5,0,14,47,0,47,3,0,0,Bengaluru,1,0,8
64,14,5,8,Telugu Titans,497,14,6,474,14,3,31.42,14,1,272,14,3,336,14,1,24,14,7,96,14,8,104,14,8,7.43,14,6,8,14,8,8,14,6,31,14,2,25,14,8,14,1,0,0,0,0,3,0,False,5,0,14,42,0,42,5,0,0,Hyderabad,3,0,6
65,14,6,2,Dabang Delhi K.C.,456,14,7,471,14,4,29.92,14,5,246,14,6,285,14,4,20.36,14,4,124,14,5,134,14,4,9.57,14,8,5,14,6,10,14,6,31,14,5,18,14,3,23,1,0,0,0,0,1,0,False,8,0,14,32,0,32,6,0,0,Delhi,1,0,5
66,14,7,4,Bengal Warriors,430,14,2,515,14,5,28.92,14,7,213,14,7,283,14,5,20.21,14,6,106,14,6,122,14,6,8.71,14,3,11,14,2,16,14,8,30,14,8,11,14,2,25,1,0,0,0,0,1,0,False,9,0,14,24,0,24,7,0,0,Bengal,1,0,4
67,14,8,7,Puneri Paltan,405,14,1,536,14,8,26.85,14,8,204,14,8,269,14,7,19.21,14,8,93,14,7,107,14,7,7.64,14,3,11,14,3,14,14,2,48,14,7,12,14,1,26,1,0,0,0,0,0,0,False,12,0,14,17,0,17,8,0,0,Pune,0,0,2
